,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,0.5,t_step,,,,,,,,,,,,,,,,,,
Total population size,,,,,5234,tot_popn,,,,,,,,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,,,,,,,,
R0,,,,,2.1,R0,,,,,,,,,,,,,,,,,,
Proportion immune at the start,,,,,0.3,prop_immune_0,,,,,,,,,,,,,,,,,,
Proportion of those infectious who are reported as cases,,,,,0.8,prop_reported,,,,,,,,,,,,,,,,,,
Number infectious at the start,,,,,2,infous_0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.000100306,beta,,,,,,,,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.25,infous_rate,,,,,,,,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.25,rec_rate,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Goodness of fit (loglikelihood deviance),,,1733.264549,,,,,,,,,,,,,,,,,,,,,
1,3660.514563,1.101787639,1.308649694,1571.075,0.183649694,0.146919755,,,,14,07/09,11,9.939292946,15.3221618,15.376848,,,,,,,,,
1.5,3660.034065,1.306838229,1.256934181,1571.402162,0.27544691,0.220357528,,,,21,14/09,19,20.19097511,36.90850372,36.9443406,,,,,,,,,
2,3659.572617,1.441577183,1.269410193,1571.716396,0.326709557,0.261367646,,,,28,21/09,41,40.25508305,111.2496045,111.2564547,,,,,,,,,
2.5,3659.106647,1.547152864,1.31245194,1572.033749,0.360394296,0.288315437,,,,35,28/09,177,77.33592155,692.2881419,739.1785027,,,,,,,,,
3,3658.624938,1.642072873,1.371127171,1572.361862,0.386788216,0.309430573,,,,42,05/10,509,138.4925124,2371.292965,2663.31604,,,,,,,,,
3.5,3658.121761,1.734732154,1.438863597,1572.704643,0.410518218,0.328414575,,,,49,12/10,649,219.2806742,3279.058116,3553.555833,,,,,,,,,
4,3657.593798,1.829011969,1.512830736,1573.064359,0.433683039,0.346946431,,,,56,19/10,379,287.1922835,1858.005313,1871.326222,,,,,,,,,
4.5,3657.038775,1.926782509,1.591876044,1573.442567,0.457252992,0.365802394,,,,63,26/10,140,294.8650602,501.2474358,551.8299392,,,,,,,,,
5,3656.45484,2.029021734,1.67560266,1573.840536,0.481695627,0.385356502,,,,70,02/11,68,235.7851794,135.6934577,218.926524,,,,,,,,,
5.5,3655.84029,2.136315759,1.763957429,1574.259437,0.507255434,0.405804347,,,,77,09/11,36,153.7506161,27.5213328,93.00668178,,,,,,,,,
6,3655.193444,2.249082823,1.857047011,1574.700426,0.53407894,0.427263152,,,,84,16/11,25,87.47667444,24.30763006,55.47189562,,,,,,,,,
6.5,3654.512583,2.367673731,1.955055964,1575.164688,0.562270706,0.449816565,,,,91,23/11,20,45.99263334,30.57699144,39.91464547,,,,,,,,,
