,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,1,t_step,,,,,,,,,,,
Total population size,,,,,100000,tot_popn,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,
R0,,,,,2,R0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.00001,beta,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.5,infous_rate,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.5,rec_rate,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,99993.5315,2.187350455,1.546810587,2.734338516,1.281146196,0.906204259,,100000,,,99978.2223,11.38792487,10.38977666,7.591590879,,,
7,99991.98479,2.640385759,1.867080521,3.50774381,1.546710532,1.093675227,,100000,,,99966.83685,17.07940728,16.08373909,11.38544484,,,
8,99990.11786,3.18712375,2.25373314,4.44128407,1.866930871,1.32019288,,100000,,,99949.76311,25.61344685,24.62344273,17.07374321,,,
9,99987.86435,3.847072298,2.720428445,5.56815064,2.253510423,1.593561875,,100000,,,99924.16253,38.40730287,37.43016616,25.60057945,,,
10,99985.14425,4.643634453,3.283750372,6.928364863,2.720098303,1.923536149,,100000,,,99885.78436,57.58182718,56.63381759,38.37817574,,,
11,99981.86099,5.605079772,3.963692412,8.570240049,3.283262546,2.321817226,,100000,,,99828.2683,86.30697332,85.42473118,57.51605973,,,
12,99977.89801,6.765513324,4.784386092,10.55208625,3.962973438,2.802539886,,100000,,,99742.10954,129.3122435,128.5782178,86.15875688,,,
13,99973.11469,8.16608531,5.774949708,12.9442793,4.783328648,3.382756662,,100000,,,99613.13078,193.6348814,193.2343396,128.9787596,,,
14,99967.34129,9.856439749,6.970517509,15.83175415,5.773397095,4.083042655,,100000,,,99420.24501,289.7032083,290.0517803,192.8857676,,,
15,99960.37305,11.8964609,8.413478629,19.31701291,6.968241028,4.928219875,,100000,,,99132.22137,432.8752436,434.9033844,288.0236395,,,
